Start Date,Overs,Mdns,Runs,Wkts
06-Jul-02,96.3,5,364,13
07-Jul-02,97.2,6,415,15
09-Jul-02,61.1,1,387,18
11-Jul-02,94.1,2,533,14
13-Jul-02,99.3,2,622,13
04-Aug-02,94.4,4,438,11
05-Aug-02,45.5,10,140,12
07-Aug-02,97.2,3,455,15
12-Aug-02,93.2,1,501,17
14-Aug-02,100,3,522,13
15-Aug-02,95,4,436,15
17-Aug-02,93.3,8,435,18
18-Aug-02,98.3,6,382,16
19-Aug-02,92.1,3,437,9
21-Aug-02,98.3,2,425,15
29-Aug-02,64,6,263,14
30-Aug-02,86,4,428,15
01-Sep-02,81.1,10,352,13
02-Sep-02,52.3,12,165,12
04-Sep-02,51.4,7,236,11
05-Sep-02,99.1,7,406,11
07-Sep-02,59.3,8,287,9
12-Sep-02,85.5,4,379,10
13-Sep-02,99,5,471,15
14-Sep-02,100,3,537,12
15-Sep-02,76.2,5,415,17
16-Sep-02,79.3,7,357,15
17-Sep-02,99.1,8,467,13
18-Sep-02,98,1,478,16
19-Sep-02,66,6,255,10
20-Sep-02,96.5,11,448,15
21-Sep-02,66.2,12,257,10
22-Sep-02,89.3,2,524,7
23-Sep-02,69.3,4,310,18
25-Sep-02,100,3,505,14
27-Sep-02,88.4,10,308,11
29-Sep-02,52,2,244,5
30-Sep-02,58.4,4,259,7
03-Oct-02,91.5,11,427,17
06-Oct-02,70.2,10,303,8
09-Oct-02,68.5,7,293,13
06-Nov-02,100,6,551,11
09-Nov-02,93.2,2,542,10
12-Nov-02,77.1,1,491,6
15-Nov-02,97.4,2,642,7
18-Nov-02,94.5,2,569,11
21-Nov-02,92.5,6,394,16
23-Nov-02,100,1,588,10
24-Nov-02,86.5,1,484,16
24-Nov-02,83,4,481,11
27-Nov-02,100,3,584,8
27-Nov-02,76.1,3,245,13
29-Nov-02,67,7,359,10
29-Nov-02,83.2,3,447,13
30-Nov-02,85.3,5,412,11
01-Dec-02,95.3,4,524,13
01-Dec-02,91.4,3,497,10
02-Dec-02,98,14,416,13
03-Dec-02,100,5,462,13
04-Dec-02,78.2,7,358,11
06-Dec-02,95.1,6,439,9
08-Dec-02,55.1,8,224,9
08-Dec-02,92.5,4,402,17
11-Dec-02,94,5,449,8
11-Dec-02,79,5,481,16
13-Dec-02,95,2,496,11
13-Dec-02,84.1,9,289,19
15-Dec-02,98,2,533,13
15-Dec-02,45,3,263,10
16-Dec-02,90.4,3,422,9
17-Dec-02,100,5,537,14
18-Dec-02,97.4,5,484,17
20-Dec-02,93.4,7,401,19
22-Dec-02,93,5,461,15
26-Dec-02,70.3,13,209,17
29-Dec-02,93.4,2,452,16
01-Jan-03,68,9,203,14
04-Jan-03,69.2,7,240,12
08-Jan-03,86,7,321,18
09-Jan-03,99.3,2,583,14
11-Jan-03,100,3,522,11
11-Jan-03,98.5,8,380,14
13-Jan-03,99.2,6,512,14
14-Jan-03,73.3,13,236,14
15-Jan-03,98.5,6,406,10
17-Jan-03,99.2,0,522,16
19-Jan-03,96,17,299,15
21-Jan-03,84.3,0,424,8
23-Jan-03,53.2,5,226,10
25-Jan-03,99.3,5,443,16
09-Feb-03,99,7,543,14
10-Feb-03,75.1,5,436,7
10-Feb-03,95.3,3,478,16
11-Feb-03,94.3,4,516,17
11-Feb-03,77.1,8,291,18
12-Feb-03,59.2,8,278,8
12-Feb-03,97,7,330,18
13-Feb-03,99.4,7,448,15
14-Feb-03,52.2,8,245,10
15-Feb-03,64,6,245,10
15-Feb-03,97.3,10,390,16
16-Feb-03,73.2,10,276,13
16-Feb-03,67.4,4,319,17
16-Feb-03,86.5,1,521,7
18-Feb-03,58.1,3,267,10
19-Feb-03,94.4,3,413,17
19-Feb-03,23.2,5,71,11
19-Feb-03,100,6,483,18
20-Feb-03,66.2,3,281,12
